1678199370643	geckodriver	INFO	Listening on 127.0.0.1:4444
1678199370661	webdriver::server	DEBUG	-> GET /status 
1678199370662	webdriver::server	DEBUG	<- 200 OK {"value":{"message":"","ready":true}}
1678199370672	webdriver::server	DEBUG	-> POST /session {"capabilities":{"firstMatch":[{}],"alwaysMatch":{"browserName":"firefox"}}}
1678199370673	geckodriver::capabilities	DEBUG	Trying to read firefox version from ini files
1678199370673	geckodriver::capabilities	DEBUG	Trying to read firefox version from binary
1678199370962	geckodriver::capabilities	DEBUG	Found version 110.0.1
1678199370964	mozrunner::runner	INFO	Running command: "/snap/bin/firefox" "--marionette" "-no-remote" "-profile" "/tmp/rust_mozprofileKAqwBw"
1678199370964	geckodriver::marionette	DEBUG	Waiting 60s to connect to browser on 127.0.0.1
1678199370964	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199370964	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371064	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371064	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371165	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371165	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371265	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371265	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371365	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371365	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371465	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371465	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371565	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371565	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371665	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371665	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371766	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371766	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371866	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371866	geckodriver::marionette	TRACE	Retrying in 100ms
1678199371966	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199371966	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372066	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372066	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372166	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372166	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372266	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372266	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372367	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372367	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372467	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372467	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372567	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372567	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372667	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372667	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372767	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372767	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372868	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372868	geckodriver::marionette	TRACE	Retrying in 100ms
1678199372968	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199372968	geckodriver::marionette	TRACE	Retrying in 100ms
1678199373068	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199373068	geckodriver::marionette	TRACE	Retrying in 100ms
1678199373168	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199373168	geckodriver::marionette	TRACE	Retrying in 100ms
1678199373268	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199373269	geckodriver::marionette	TRACE	Retrying in 100ms
1678199373369	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199373369	geckodriver::marionette	TRACE	Retrying in 100ms
1678199373469	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
